date,close,,,,,,,,,,
2021/2/28,52.03,,,,,,,,,,
2021/2/21,48.12,,,,,,,,,,
2021/2/14,45.48,,,,,,,,,,
2021/2/7,51.39,,,,,,,,,,
2021/1/31,44.34,,,,,,,,,,
2021/1/24,43.52,,,,,,,,,,
2021/1/17,42.89,,,,,,,,,,
2021/1/10,42.52,,,,,,,,,,
2021/1/3,41.7,,,,,,,,,,
2020/12/27,41.93,,,,,,,,,,
2020/12/20,43.3,,,,,,,,,,
2020/12/13,35.61,,,,,,,,,,
2020/12/6,30.06,,,,,,,,,,
2020/11/29,28.47,,,,,,,,,,
2020/11/22,27.74,,,,,,,,,,
2020/11/15,27.92,,,,,,,,,,
2020/11/8,29.79,,,,,,,,,,
2020/11/1,27.88,,,,,,,,,,
2020/10/25,29.29,,,,,,,,,,
2020/10/18,25.97,,,,,,,,,,
2020/10/11,22.74,,,,,,,,,,
2020/10/4,23.47,,,,,,,,,,
2020/9/27,20.92,,,,,,,,,,
2020/9/20,19.51,,,,,,,,,,
2020/9/13,19.92,,,,,,,,,,
2020/9/6,19.83,,,,,,,,,,
2020/8/30,21.42,,,,,,,,,,
2020/8/23,23.28,,,,,,,,,,
2020/8/16,20.33,,,,,,,,,,
2020/8/9,17.96,,,,,,,,,,
2020/8/2,14.92,,,,,,,,,,
2020/7/26,14.25,,,,,,,,,,
2020/7/19,14.25,,,,,,,,,,
2020/7/12,13.64,,,,,,,,,,
2020/7/5,13.34,,,,,,,,,,
2020/6/28,13.6,,,,,,,,,,
2020/6/21,14.29,,,,,,,,,,
2020/6/14,13.38,,,,,,,,,,
2020/6/7,13.08,,,,,,,,,,
2020/5/31,13.34,,,,,,,,,,
2020/5/24,13.56,,,,,,,,,,
2020/5/17,13.47,,,,,,,,,,
2020/5/10,13.77,,,,,,,,,,
2020/5/3,13.04,,,,,,,,,,
2020/4/26,12.39,,,,,,,,,,
2020/4/19,11.95,,,,,,,,,,
2020/4/12,12.13,,,,,,,,,,
2020/4/5,12,,,,,,,,,,
2020/3/29,12.17,,,,,,,,,,
2020/3/22,13.38,,,,,,,,,,
2020/3/15,13.25,,,,,,,,,,
2020/3/8,13.9,,,,,,,,,,
2020/3/1,14.29,,,,,,,,,,
2020/2/23,14.16,,,,,,,,,,
2020/2/16,12.91,,,,,,,,,,
2020/2/9,13.9,,,,,,,,,,
2020/2/2,13.86,,,,,,,,,,
2020/1/26,13.99,,,,,,,,,,
2020/1/19,14.12,,,,,,,,,,
2020/1/12,14.47,,,,,,,,,,
2020/1/5,14.47,,,,,,,,,,
2019/12/29,14.38,,,,,,,,,,
2019/12/22,14.03,,,,,,,,,,
2019/12/15,12.95,,,,,,,,,,
2019/12/8,12.65,,,,,,,,,,
2019/12/1,12.39,,,,,,,,,,
2019/11/24,12.34,,,,,,,,,,
2019/11/17,12.56,,,,,,,,,,
2019/11/10,12.47,,,,,,,,,,
2019/11/3,12.08,,,,,,,,,,
2019/10/27,11.39,,,,,,,,,,
2019/10/20,11.65,,,,,,,,,,
2019/10/13,11.61,,,,,,,,,,
2019/10/6,11.95,,,,,,,,,,
2019/9/29,11.87,,,,,,,,,,
2019/9/22,11.74,,,,,,,,,,
2019/9/15,11.65,,,,,,,,,,
2019/9/8,11.56,,,,,,,,,,
